Year;State;County;Number of Farms;Total Farm Area;Area per Farm;Land in Farms;Change Since 1970
;;;;acre;acre;%;%
1976;WI    ;Rock;1950;400000;205;86.8;0.0
1977;WI    ;Rock;1920;399900;208;86.8;0.0
1978;WI    ;Rock;1890;397300;210;86.2;-0.6
1979;WI    ;Rock;1890;397300;210;86.2;0.0
1980;WI    ;Rock;1860;396800;213;86.1;-0.1
1981;WI    ;Rock;1840;396800;216;86.1;0.0
1982;WI    ;Rock;1790;394600;220;85.6;-0.5
1983;WI    ;Rock;1800;382500;213;83.0;-2.6
1984;WI    ;Rock;1760;380500;216;82.6;-0.4
1985;WI    ;Rock;1700;379000;223;82.2;-0.3
1986;WI    ;Rock;1670;378000;226;82.0;-0.2
1987;WI    ;Rock;1630;381000;234;82.7;0.7
1988;WI    ;Rock;1650;384000;233;83.3;0.7
1989;WI    ;Rock;1630;377000;231;81.8;-1.5
1990;WI    ;Rock;1600;377000;236;81.8;0.0
1991;WI    ;Rock;1590;377000;237;81.8;0.0
1992;WI    ;Rock;1600;379000;237;82.2;0.4
1993;WI    ;Rock;1610;379000;235;82.2;0.0
1994;WI    ;Rock;1610;378000;235;82.0;-0.2
1995;WI    ;Rock;1600;378000;236;82.0;0.0
1996;WI    ;Rock;1580;376000;238;81.6;-0.4
1997;WI    ;Rock;1600;388000;243;84.2;2.6
1998;WI    ;Rock;1580;383000;242;83.1;-1.1
1999;WI    ;Rock;1580;382000;242;82.9;-0.2
1970;WI    ;Rusk;1250;244000;195;41.8;
1971;WI    ;Rusk;1230;240800;196;41.2;-0.5
1972;WI    ;Rusk;1160;238300;205;40.8;-0.4
1973;WI    ;Rusk;1130;233400;207;39.9;-0.8
1974;WI    ;Rusk;1110;232000;209;39.7;-0.2
1975;WI    ;Rusk;1060;228000;215;39.0;-0.7
1976;WI    ;Rusk;1040;226000;217;38.7;-0.3
1977;WI    ;Rusk;1010;222900;221;38.1;-0.5
1978;WI    ;Rusk;1000;221000;221;37.8;-0.3
1979;WI    ;Rusk;970;220000;227;37.7;-0.2
1980;WI    ;Rusk;940;219300;233;37.5;-0.1
1981;WI    ;Rusk;930;219000;235;37.5;-0.1
1982;WI    ;Rusk;900;217800;242;37.3;-0.2
1983;WI    ;Rusk;880;198800;226;34.0;-3.3
1984;WI    ;Rusk;860;197000;229;33.7;-0.3
1985;WI    ;Rusk;820;196000;239;33.5;-0.2
1986;WI    ;Rusk;810;195000;241;33.4;-0.2
1987;WI    ;Rusk;780;188000;241;32.2;-1.2
1988;WI    ;Rusk;790;187000;237;32.0;-0.2
1989;WI    ;Rusk;780;190000;244;32.5;0.5
1990;WI    ;Rusk;770;190000;247;32.5;0.0
1991;WI    ;Rusk;750;186000;248;31.8;-0.7
1992;WI    ;Rusk;750;189000;252;32.3;0.5
1993;WI    ;Rusk;750;187000;249;32.0;-0.3
1994;WI    ;Rusk;750;184000;245;31.5;-0.5
1995;WI    ;Rusk;750;183000;244;31.3;-0.2
1996;WI    ;Rusk;730;178000;244;30.5;-0.9
1997;WI    ;Rusk;700;176000;251;30.1;-0.3
1998;WI    ;Rusk;690;175000;254;29.9;-0.2
1999;WI    ;Rusk;690;174000;252;29.8;-0.2
1970;WI    ;Sauk;2260;469000;208;87.4;
1971;WI    ;Sauk;2210;463700;210;86.5;-1.0
1972;WI    ;Sauk;2210;466300;211;86.9;0.5
1973;WI    ;Sauk;2200;464200;211;86.6;-0.4
1974;WI    ;Sauk;2190;463500;212;86.4;-0.1
1975;WI    ;Sauk;2090;457000;219;85.2;-1.2
1976;WI    ;Sauk;2070;453000;219;84.5;-0.7
1977;WI    ;Sauk;2050;450300;220;84.0;-0.5
1978;WI    ;Sauk;2030;449300;221;83.8;-0.2
1979;WI    ;Sauk;2010;446900;222;83.3;-0.4
1980;WI    ;Sauk;1950;440300;226;82.1;-1.2
1981;WI    ;Sauk;1940;435300;224;81.2;-0.9
1982;WI    ;Sauk;1890;433000;229;80.7;-0.4
1983;WI    ;Sauk;1750;410000;234;76.4;-4.3
1984;WI    ;Sauk;1700;409400;241;76.3;-0.1
1985;WI    ;Sauk;1640;408000;249;76.1;-0.3
1986;WI    ;Sauk;1620;406000;251;75.7;-0.4
1987;WI    ;Sauk;1610;397000;247;74.0;-1.7
1988;WI    ;Sauk;1630;398000;244;74.2;0.2
1989;WI    ;Sauk;1630;399000;245;74.4;0.2
1990;WI    ;Sauk;1610;399000;248;74.4;0.0
1991;WI    ;Sauk;1570;395000;252;73.7;-0.7
1992;WI    ;Sauk;1580;380000;241;70.9;-2.8
1993;WI    ;Sauk;1620;375000;231;69.9;-0.9
1994;WI    ;Sauk;1610;367000;228;68.4;-1.5
1995;WI    ;Sauk;1590;363000;228;67.7;-0.7
1996;WI    ;Sauk;1570;360000;229;67.1;-0.6
1997;WI    ;Sauk;1740;369000;212;68.8;1.7
1998;WI    ;Sauk;1730;364000;210;67.9;-0.9
1999;WI    ;Sauk;1730;361000;209;67.3;-0.6
1970;WI    ;Sawyer;370;87000;235;10.8;
1971;WI    ;Sawyer;340;85000;250;10.6;-0.2
1972;WI    ;Sawyer;340;84300;248;10.5;-0.1
1973;WI    ;Sawyer;320;80000;250;10.0;-0.5
1974;WI    ;Sawyer;320;80000;250;10.0;0.0
1975;WI    ;Sawyer;310;79000;255;9.8;-0.1
1976;WI    ;Sawyer;280;74000;264;9.2;-0.6
1977;WI    ;Sawyer;260;71200;274;8.9;-0.3
1978;WI    ;Sawyer;250;68900;276;8.6;-0.3
1979;WI    ;Sawyer;250;68900;276;8.6;0.0
1980;WI    ;Sawyer;250;68400;274;8.5;-0.1
1981;WI    ;Sawyer;250;68000;272;8.5;0.0
1982;WI    ;Sawyer;240;67600;282;8.4;0.0
1983;WI    ;Sawyer;220;51500;234;6.4;-2.0
1984;WI    ;Sawyer;210;51000;243;6.3;-0.1
1985;WI    ;Sawyer;200;51000;255;6.3;0.0
1986;WI    ;Sawyer;200;51000;255;6.3;0.0
1987;WI    ;Sawyer;220;54000;245;6.7;0.4
1988;WI    ;Sawyer;220;53000;241;6.6;-0.1
1989;WI    ;Sawyer;220;51000;232;6.3;-0.2
1990;WI    ;Sawyer;210;51000;243;6.3;0.0
1991;WI    ;Sawyer;200;50000;250;6.2;-0.1
1992;WI    ;Sawyer;200;53000;265;6.6;0.4
1993;WI    ;Sawyer;200;52000;260;6.5;-0.1
1994;WI    ;Sawyer;200;51000;255;6.3;-0.1
1995;WI    ;Sawyer;200;51000;255;6.3;0.0
1996;WI    ;Sawyer;200;50000;250;6.2;-0.1
1997;WI    ;Sawyer;220;53000;241;6.6;0.4
1998;WI    ;Sawyer;210;52000;248;6.5;-0.1
1999;WI    ;Sawyer;210;52000;248;6.5;0.0
1970;WI    ;Shawano;2380;400000;168;70.0;
1971;WI    ;Shawano;2310;395000;171;69.1;-0.9
1972;WI    ;Shawano;2320;392200;169;68.6;-0.5
1973;WI    ;Shawano;2310;391300;169;68.5;-0.2
1974;WI    ;Shawano;2280;388500;170;68.0;-0.5
1975;WI    ;Shawano;2160;379000;175;66.3;-1.7
1976;WI    ;Shawano;2100;374000;178;65.4;-0.9
1977;WI    ;Shawano;2040;370900;182;64.9;-0.5
1978;WI    ;Shawano;2010;369000;184;64.6;-0.3
1979;WI    ;Shawano;1980;367300;186;64.3;-0.3
1980;WI    ;Shawano;1980;366000;185;64.0;-0.2
1981;WI    ;Shawano;1950;366000;188;64.0;0.0
1982;WI    ;Shawano;1940;363900;188;63.7;-0.4
1983;WI    ;Shawano;1890;353000;187;61.8;-1.9
1984;WI    ;Shawano;1840;348800;190;61.0;-0.7
1985;WI    ;Shawano;1780;346000;194;60.5;-0.5
1986;WI    ;Shawano;1770;346000;195;60.5;0.0
1987;WI    ;Shawano;1760;352000;200;61.6;1.0
1988;WI    ;Shawano;1780;350000;197;61.2;-0.3
1989;WI    ;Shawano;1740;348000;200;60.9;-0.3
1990;WI    ;Shawano;1710;348000;204;60.9;0.0
1991;WI    ;Shawano;1670;344000;206;60.2;-0.7
1992;WI    ;Shawano;1630;333000;204;58.3;-1.9
1993;WI    ;Shawano;1670;326000;195;57.0;-1.2
1994;WI    ;Shawano;1670;323000;193;56.5;-0.5
1995;WI    ;Shawano;1670;321000;192;56.2;-0.3
1996;WI    ;Shawano;1650;314000;190;54.9;-1.2
1997;WI    ;Shawano;1610;302000;188;52.8;-2.1
1998;WI    ;Shawano;1570;297000;189;52.0;-0.9
1999;WI    ;Shawano;1570;292000;186;51.1;-0.9
1970;WI    ;Sheboygan;1950;267000;137;81.2;
1971;WI    ;Sheboygan;1930;264300;137;80.3;-0.8
1972;WI    ;Sheboygan;1930;262500;136;79.8;-0.5
1973;WI    ;Sheboygan;1880;255500;136;77.7;-2.1
1974;WI    ;Sheboygan;1870;255300;137;77.6;-0.1
1975;WI    ;Sheboygan;1780;253000;142;76.9;-0.7
1976;WI    ;Sheboygan;1740;251000;144;76.3;-0.6
1977;WI    ;Sheboygan;1740;251000;144;76.3;0.0
1978;WI    ;Sheboygan;1660;247500;149;75.2;-1.1
1979;WI    ;Sheboygan;1670;246100;147;74.8;-0.4
1980;WI    ;Sheboygan;1630;242600;149;73.7;-1.1
1981;WI    ;Sheboygan;1610;242600;151;73.7;0.0
1982;WI    ;Sheboygan;1570;241300;154;73.4;-0.4
1983;WI    ;Sheboygan;1450;230100;159;69.9;-3.4
1984;WI    ;Sheboygan;1420;226500;160;68.9;-1.1
1985;WI    ;Sheboygan;1370;223000;163;67.8;-1.1
1986;WI    ;Sheboygan;1340;221000;165;67.2;-0.6
1987;WI    ;Sheboygan;1310;222000;169;67.5;0.3
1988;WI    ;Sheboygan;1320;224000;170;68.1;0.6
1989;WI    ;Sheboygan;1280;220000;172;66.9;-1.2
1990;WI    ;Sheboygan;1280;220000;172;66.9;0.0
1991;WI    ;Sheboygan;1270;220000;173;66.9;0.0
1992;WI    ;Sheboygan;1260;230000;183;69.9;3.0
1993;WI    ;Sheboygan;1270;228000;180;69.3;-0.6
1994;WI    ;Sheboygan;1260;224000;178;68.1;-1.2
1995;WI    ;Sheboygan;1260;223000;177;67.8;-0.3
1996;WI    ;Sheboygan;1230;221000;180;67.2;-0.6
1997;WI    ;Sheboygan;1170;205000;175;62.3;-4.9
1998;WI    ;Sheboygan;1170;202000;173;61.4;-0.9
1999;WI    ;Sheboygan;1170;201000;172;61.1;-0.3
1970;WI    ;St. Croix;2070;395000;191;85.5;
1971;WI    ;St. Croix;2030;392400;193;84.9;-0.6
1972;WI    ;St. Croix;2050;389500;190;84.3;-0.6
1973;WI    ;St. Croix;2030;386700;190;83.7;-0.6
1974;WI    ;St. Croix;2020;386000;191;83.5;-0.2
1975;WI    ;St. Croix;1930;382000;198;82.7;-0.9
1976;WI    ;St. Croix;1890;376000;199;81.4;-1.3
1977;WI    ;St. Croix;1880;377300;201;81.7;0.3
1978;WI    ;St. Croix;1860;374700;201;81.1;-0.6
1979;WI    ;St. Croix;1840;372700;203;80.7;-0.4
1980;WI    ;St. Croix;1840;372700;203;80.7;0.0
1981;WI    ;St. Croix;1820;372000;204;80.5;-0.2
1982;WI    ;St. Croix;1780;370000;208;80.1;-0.4
1983;WI    ;St. Croix;1870;372200;199;80.5;0.5
1984;WI    ;St. Croix;1830;371800;203;80.5;-0.1
1985;WI    ;St. Croix;1760;362000;206;78.3;-2.1
1986;WI    ;St. Croix;1740;360000;207;77.9;-0.4
1987;WI    ;St. Croix;1710;357000;209;77.3;-0.6
1988;WI    ;St. Croix;1730;355000;205;76.8;-0.4
1989;WI    ;St. Croix;1700;356000;209;77.0;0.2
1990;WI    ;St. Croix;1690;356000;211;77.0;0.0
1991;WI    ;St. Croix;1670;353000;211;76.4;-0.6
1992;WI    ;St. Croix;1630;347000;213;75.1;-1.3
1993;WI    ;St. Croix;1680;344000;205;74.4;-0.6
1994;WI    ;St. Croix;1710;342000;200;74.0;-0.4
1995;WI    ;St. Croix;1720;343000;199;74.2;0.2
1996;WI    ;St. Croix;1710;342000;200;74.0;-0.2
1997;WI    ;St. Croix;1830;342000;187;74.0;0.0
1998;WI    ;St. Croix;1830;336000;184;72.7;-1.3
1999;WI    ;St. Croix;1830;334000;183;72.3;-0.4
1970;WI    ;Taylor;1650;321000;195;51.4;
1971;WI    ;Taylor;1620;316900;196;50.8;-0.7
1972;WI    ;Taylor;1620;315300;195;50.5;-0.3
1973;WI    ;Taylor;1590;312900;197;50.1;-0.4
1974;WI    ;Taylor;1580;311400;197;49.9;-0.2
1975;WI    ;Taylor;1510;308000;204;49.4;-0.5
1976;WI    ;Taylor;1480;303000;205;48.6;-0.8
1977;WI    ;Taylor;1460;301000;206;48.2;-0.3
1978;WI    ;Taylor;1450;297800;205;47.7;-0.5
1979;WI    ;Taylor;1420;294800;208;47.2;-0.5
1980;WI    ;Taylor;1390;289600;208;46.4;-0.8
1981;WI    ;Taylor;1370;289000;211;46.3;-0.1
1982;WI    ;Taylor;1340;287500;215;46.1;-0.2
1983;WI    ;Taylor;1220;272700;224;43.7;-2.4
1984;WI    ;Taylor;1180;267200;226;42.8;-0.9
1985;WI    ;Taylor;1130;266000;235;42.6;-0.2
1986;WI    ;Taylor;1120;265000;237;42.5;-0.2
1987;WI    ;Taylor;1150;283000;246;45.4;2.9
1988;WI    ;Taylor;1160;280000;241;44.9;-0.5
1989;WI    ;Taylor;1150;265000;230;42.5;-2.4
1990;WI    ;Taylor;1140;265000;232;42.5;0.0
1991;WI    ;Taylor;1120;264000;236;42.3;-0.2
1992;WI    ;Taylor;1100;258000;235;41.3;-1.0
1993;WI    ;Taylor;1110;255000;230;40.9;-0.5
1994;WI    ;Taylor;1100;252000;229;40.4;-0.5
1995;WI    ;Taylor;1070;252000;236;40.4;0.0
1996;WI    ;Taylor;1040;248000;238;39.7;-0.6
1997;WI    ;Taylor;1070;247000;231;39.6;-0.2
1998;WI    ;Taylor;1030;242000;235;38.8;-0.8
1999;WI    ;Taylor;1030;240000;233;38.5;-0.3
1970;WI    ;Trempealeau;2160;431000;200;91.7;
1971;WI    ;Trempealeau;2130;430300;202;91.6;-0.1
1972;WI    ;Trempealeau;2130;427500;201;91.0;-0.6
1973;WI    ;Trempealeau;2140;428600;200;91.2;0.2
1974;WI    ;Trempealeau;2130;427900;201;91.1;-0.1
1975;WI    ;Trempealeau;2030;423000;208;90.0;-1.0
1976;WI    ;Trempealeau;1960;412000;210;87.7;-2.3
1977;WI    ;Trempealeau;1980;412200;208;87.7;0.0
1978;WI    ;Trempealeau;1980;411700;208;87.6;-0.1
1979;WI    ;Trempealeau;1930;408700;212;87.0;-0.6
1980;WI    ;Trempealeau;1910;405000;212;86.2;-0.8
1981;WI    ;Trempealeau;1890;405000;214;86.2;0.0
1982;WI    ;Trempealeau;1850;402800;218;85.7;-0.5
1983;WI    ;Trempealeau;1720;405700;236;86.4;0.6
1984;WI    ;Trempealeau;1680;405300;241;86.3;-0.1
1985;WI    ;Trempealeau;1620;405000;250;86.2;-0.1
1986;WI    ;Trempealeau;1610;402000;250;85.6;-0.6
1987;WI    ;Trempealeau;1620;394000;243;83.9;-1.7
1988;WI    ;Trempealeau;1640;392000;239;83.4;-0.4
1989;WI    ;Trempealeau;1620;396000;244;84.3;0.9
1990;WI    ;Trempealeau;1600;396000;248;84.3;0.0
1991;WI    ;Trempealeau;1570;392000;250;83.4;-0.9
1992;WI    ;Trempealeau;1650;392000;238;83.4;0.0
1993;WI    ;Trempealeau;1700;388000;228;82.6;-0.9
1994;WI    ;Trempealeau;1740;386000;222;82.2;-0.4
1995;WI    ;Trempealeau;1780;385000;216;82.0;-0.2
1996;WI    ;Trempealeau;1780;385000;216;82.0;0.0
1997;WI    ;Trempealeau;1700;381000;224;81.1;-0.9
1998;WI    ;Trempealeau;1690;379000;224;80.7;-0.4
1999;WI    ;Trempealeau;1690;378000;224;80.5;-0.2
1970;WI    ;Vernon;2740;461000;168;90.6;
1971;WI    ;Vernon;2720;455200;167;89.5;-1.1
1972;WI    ;Vernon;2740;454800;166;89.4;-0.1
1973;WI    ;Vernon;2750;455500;166;89.5;0.1
1974;WI    ;Vernon;2730;453500;166;89.1;-0.4
1975;WI    ;Vernon;2620;447000;171;87.9;-1.3
1976;WI    ;Vernon;2590;444000;171;87.3;-0.6
1977;WI    ;Vernon;2570;442800;172;87.0;-0.2
1978;WI    ;Vernon;2560;441500;172;86.8;-0.3
1979;WI    ;Vernon;2530;438300;173;86.1;-0.6
1980;WI    ;Vernon;2570;438300;171;86.1;0.0
1981;WI    ;Vernon;2550;438300;172;86.1;0.0
1982;WI    ;Vernon;2490;435900;175;85.7;-0.5
1983;WI    ;Vernon;2580;439500;170;86.4;0.7
1984;WI    ;Vernon;2520;438900;174;86.3;-0.1
1985;WI    ;Vernon;2430;433000;178;85.1;-1.2
1986;WI    ;Vernon;2420;430000;178;84.5;-0.6
1987;WI    ;Vernon;2360;430000;182;84.5;0.0
1988;WI    ;Vernon;2390;427000;179;83.9;-0.6
1989;WI    ;Vernon;2390;428000;179;84.1;0.2
1990;WI    ;Vernon;2360;428000;181;84.1;0.0
1991;WI    ;Vernon;2330;424000;182;83.3;-0.8
1992;WI    ;Vernon;2340;414000;177;81.4;-2.0
1993;WI    ;Vernon;2410;409000;170;80.4;-1.0
1994;WI    ;Vernon;2410;400000;166;78.6;-1.8
1995;WI    ;Vernon;2420;400000;165;78.6;0.0
1996;WI    ;Vernon;2400;397000;165;78.0;-0.6
1997;WI    ;Vernon;2270;381000;168;74.9;-3.1
1998;WI    ;Vernon;2260;379000;168;74.5;-0.4
1999;WI    ;Vernon;2260;378000;167;74.3;-0.2
1970;WI    ;Vilas;100;13000;130;2.3;
1971;WI    ;Vilas;90;11800;131;2.1;-0.2
1972;WI    ;Vilas;80;10400;130;1.9;-0.3
1973;WI    ;Vilas;80;10000;125;1.8;-0.1
1974;WI    ;Vilas;70;8900;127;1.6;-0.2
1975;WI    ;Vilas;60;8000;133;1.4;-0.2
1976;WI    ;Vilas;60;8000;133;1.4;0.0
1977;WI    ;Vilas;40;6900;173;1.2;-0.2
1978;WI    ;Vilas;40;6900;173;1.2;0.0
1979;WI    ;Vilas;40;6900;173;1.2;0.0
1980;WI    ;Vilas;40;6800;170;1.2;0.0
1981;WI    ;Vilas;40;7600;190;1.4;0.1
1982;WI    ;Vilas;50;7600;152;1.4;0.0
1983;WI    ;Vilas;50;7900;158;1.4;0.1
1984;WI    ;Vilas;50;7700;154;1.4;0.0
1985;WI    ;Vilas;50;8000;160;1.4;0.1
1986;WI    ;Vilas;50;8000;160;1.4;0.0
1987;WI    ;Vilas;50;9000;180;1.6;0.2
1988;WI    ;Vilas;50;9000;180;1.6;0.0
1989;WI    ;Vilas;50;7900;158;1.4;-0.2
1990;WI    ;Vilas;50;7900;158;1.4;0.0
1991;WI    ;Vilas;50;7800;156;1.4;0.0
1992;WI    ;Vilas;40;7000;175;1.3;-0.1
1993;WI    ;Vilas;40;7000;175;1.3;0.0
1994;WI    ;Vilas;40;7000;175;1.3;0.0
1995;WI    ;Vilas;40;7000;175;1.3;0.0
1996;WI    ;Vilas;40;7000;175;1.3;0.0
1997;WI    ;Vilas;50;8000;160;1.4;0.2
1998;WI    ;Vilas;50;8000;160;1.4;0.0
1999;WI    ;Vilas;50;8000;160;1.4;0.0
1970;WI    ;Walworth;1470;299000;203;84.2;
1971;WI    ;Walworth;1430;295700;207;83.2;-0.9
1972;WI    ;Walworth;1410;295500;210;83.2;-0.1
1973;WI    ;Walworth;1370;289100;211;81.4;-1.8
1974;WI    ;Walworth;1340;287800;215;81.0;-0.4
1975;WI    ;Walworth;1290;282000;219;79.4;-1.6
1976;WI    ;Walworth;1250;284000;227;80.0;0.6
1977;WI    ;Walworth;1180;276700;234;77.9;-2.1
1978;WI    ;Walworth;1160;274000;236;77.1;-0.8
1979;WI    ;Walworth;1150;272900;237;76.8;-0.3
1980;WI    ;Walworth;1150;272900;237;76.8;0.0
1981;WI    ;Walworth;1140;272900;239;76.8;0.0
1982;WI    ;Walworth;1110;271600;245;76.5;-0.4
1983;WI    ;Walworth;1130;262400;232;73.9;-2.6
1984;WI    ;Walworth;1100;251700;229;70.9;-3.0
1985;WI    ;Walworth;1060;248000;234;69.8;-1.0
1986;WI    ;Walworth;1050;249000;237;70.1;0.3
1987;WI    ;Walworth;1060;250000;236;70.4;0.3
1988;WI    ;Walworth;1060;251000;237;70.7;0.3
1989;WI    ;Walworth;1050;247000;235;69.5;-1.1
1990;WI    ;Walworth;1030;247000;240;69.5;0.0
1991;WI    ;Walworth;1030;247000;240;69.5;0.0
1992;WI    ;Walworth;1040;248000;238;69.8;0.3
1993;WI    ;Walworth;1040;242000;233;68.1;-1.7
1994;WI    ;Walworth;1020;240000;235;67.6;-0.6
1995;WI    ;Walworth;1020;234000;229;65.9;-1.7
1996;WI    ;Walworth;970;228000;235;64.2;-1.7
1997;WI    ;Walworth;1030;239000;232;67.3;3.1
1998;WI    ;Walworth;1010;228000;226;64.2;-3.1
1999;WI    ;Walworth;1010;226000;224;63.6;-0.6
1970;WI    ;Washburn;610;132000;216;25.5;
1971;WI    ;Washburn;600;130900;218;25.3;-0.2
1972;WI    ;Washburn;580;128000;221;24.7;-0.6
1973;WI    ;Washburn;570;125800;221;24.3;-0.4
1974;WI    ;Washburn;570;125800;221;24.3;0.0
1975;WI    ;Washburn;540;123000;228;23.7;-0.5
1976;WI    ;Washburn;520;121000;233;23.3;-0.4
1977;WI    ;Washburn;480;114700;239;22.1;-1.2
1978;WI    ;Washburn;470;113000;240;21.8;-0.3
1979;WI    ;Washburn;460;111200;242;21.5;-0.3
1980;WI    ;Washburn;450;111200;247;21.5;0.0
1981;WI    ;Washburn;450;111000;247;21.4;0.0
1982;WI    ;Washburn;440;110400;251;21.3;-0.1
1983;WI    ;Washburn;430;113000;263;21.8;0.5
1984;WI    ;Washburn;420;112000;267;21.6;-0.2
1985;WI    ;Washburn;410;111000;271;21.4;-0.2
1986;WI    ;Washburn;400;109000;273;21.0;-0.4
1987;WI    ;Washburn;400;109000;273;21.0;0.0
1988;WI    ;Washburn;400;108000;270;20.8;-0.2
1989;WI    ;Washburn;400;108000;270;20.8;0.0
1990;WI    ;Washburn;400;108000;270;20.8;0.0
1991;WI    ;Washburn;390;107000;274;20.6;-0.2
1992;WI    ;Washburn;390;98000;251;18.9;-1.7
1993;WI    ;Washburn;380;97000;255;18.7;-0.2
1994;WI    ;Washburn;380;94000;247;18.1;-0.6
1995;WI    ;Washburn;380;93000;245;17.9;-0.2
1996;WI    ;Washburn;380;91000;239;17.6;-0.4
1997;WI    ;Washburn;430;105000;244;20.3;2.7
1998;WI    ;Washburn;420;104000;248;20.1;-0.2
1999;WI    ;Washburn;420;104000;248;20.1;0.0
1970;WI    ;Washington;1560;212000;136;76.9;
1971;WI    ;Washington;1530;208900;137;75.7;-1.1
1972;WI    ;Washington;1490;208700;140;75.7;-0.1
1973;WI    ;Washington;1440;212300;147;77.0;1.3
1974;WI    ;Washington;1410;208200;148;75.5;-1.5
1975;WI    ;Washington;1360;205000;151;74.3;-1.2
1976;WI    ;Washington;1300;204000;157;74.0;-0.4
1977;WI    ;Washington;1230;199800;162;72.4;-1.5
1978;WI    ;Washington;1230;198500;161;72.0;-0.5
1979;WI    ;Washington;1220;198000;162;71.8;-0.2
1980;WI    ;Washington;1210;198000;164;71.8;0.0
1981;WI    ;Washington;1210;198000;164;71.8;0.0
1982;WI    ;Washington;1170;197000;168;71.4;-0.4
1983;WI    ;Washington;1180;173000;147;62.7;-8.7
1984;WI    ;Washington;1150;165900;144;60.1;-2.6
1985;WI    ;Washington;1100;163000;148;59.1;-1.1
1986;WI    ;Washington;1090;164000;150;59.5;0.4
1987;WI    ;Washington;1050;162000;154;58.7;-0.7
1988;WI    ;Washington;1060;161000;152;58.4;-0.4
1989;WI    ;Washington;1060;162000;153;58.7;0.4
1990;WI    ;Washington;1040;162000;156;58.7;0.0
1991;WI    ;Washington;1040;162000;156;58.7;0.0
1992;WI    ;Washington;1020;162000;159;58.7;0.0
1993;WI    ;Washington;1020;158000;155;57.3;-1.5
1994;WI    ;Washington;1000;156000;156;56.6;-0.7
1995;WI    ;Washington;1000;155000;155;56.2;-0.4
1996;WI    ;Washington;950;152000;160;55.1;-1.1
1997;WI    ;Washington;950;141000;148;51.1;-4.0
1998;WI    ;Washington;930;137000;147;49.7;-1.5
1999;WI    ;Washington;930;135000;145;48.9;-0.7
1970;WI    ;Waukesha;1370;190000;139;53.4;
1971;WI    ;Waukesha;1340;187600;140;52.7;-0.7
1972;WI    ;Waukesha;1310;187400;143;52.7;-0.1
1973;WI    ;Waukesha;1250;184200;147;51.8;-0.9
1974;WI    ;Waukesha;1230;182200;148;51.2;-0.6
1975;WI    ;Waukesha;1170;178000;152;50.0;-1.2
1976;WI    ;Waukesha;1140;178000;156;50.0;0.0
1977;WI    ;Waukesha;1020;172200;169;48.4;-1.6
1978;WI    ;Waukesha;1010;171600;170;48.2;-0.2
1979;WI    ;Waukesha;980;170100;174;47.8;-0.4
1980;WI    ;Waukesha;970;172100;177;48.4;0.6
1981;WI    ;Waukesha;970;172100;177;48.4;0.0
1982;WI    ;Waukesha;960;171300;178;48.1;-0.2
1983;WI    ;Waukesha;1050;157600;150;44.3;-3.9
1984;WI    ;Waukesha;1020;151200;148;42.5;-1.8
1985;WI    ;Waukesha;1000;149000;149;41.9;-0.6
1986;WI    ;Waukesha;980;148000;151;41.6;-0.3
1987;WI    ;Waukesha;890;144000;162;40.5;-1.1
1988;WI    ;Waukesha;910;143000;157;40.2;-0.3
1989;WI    ;Waukesha;900;141000;157;39.6;-0.6
1990;WI    ;Waukesha;880;141000;160;39.6;0.0
1991;WI    ;Waukesha;880;141000;160;39.6;0.0
1992;WI    ;Waukesha;830;127000;153;35.7;-3.9
1993;WI    ;Waukesha;840;124000;148;34.8;-0.8
1994;WI    ;Waukesha;820;121000;148;34.0;-0.8
1995;WI    ;Waukesha;820;121000;148;34.0;0.0
1996;WI    ;Waukesha;800;117000;146;32.9;-1.1
1997;WI    ;Waukesha;760;116000;153;32.6;-0.3
1998;WI    ;Waukesha;750;112000;149;31.5;-1.1
1999;WI    ;Waukesha;750;111000;148;31.2;-0.3
1970;WI    ;Waupaca;2150;357000;166;74.3;
1971;WI    ;Waupaca;2120;352900;166;73.4;-0.9
1972;WI    ;Waupaca;2120;351900;166;73.2;-0.2
1973;WI    ;Waupaca;2040;347000;170;72.2;-1.0
1974;WI    ;Waupaca;2000;344000;172;71.6;-0.6
1975;WI    ;Waupaca;1920;339000;177;70.5;-1.0
1976;WI    ;Waupaca;1870;336000;180;69.9;-0.6
1977;WI    ;Waupaca;1860;335900;181;69.9;0.0
1978;WI    ;Waupaca;1830;332400;182;69.2;-0.7
1979;WI    ;Waupaca;1810;331000;183;68.9;-0.3
1980;WI    ;Waupaca;1780;328200;184;68.3;-0.6
1981;WI    ;Waupaca;1770;328200;185;68.3;0.0
1982;WI    ;Waupaca;1730;306400;177;63.7;-4.5
1983;WI    ;Waupaca;1590;289700;182;60.3;-3.5
1984;WI    ;Waupaca;1560;282900;181;58.9;-1.4
1985;WI    ;Waupaca;1500;282000;188;58.7;-0.2
1986;WI    ;Waupaca;1480;280000;189;58.3;-0.4
1987;WI    ;Waupaca;1450;284000;196;59.1;0.8
1988;WI    ;Waupaca;1470;287000;195;59.7;0.6
1989;WI    ;Waupaca;1450;280000;193;58.3;-1.5
1990;WI    ;Waupaca;1430;280000;196;58.3;0.0
1991;WI    ;Waupaca;1410;280000;199;58.3;0.0
1992;WI    ;Waupaca;1370;272000;199;56.6;-1.7
1993;WI    ;Waupaca;1370;269000;196;56.0;-0.6
1994;WI    ;Waupaca;1370;265000;193;55.1;-0.8
